accel_var,model,r2,roughness
1e-12,0,-0.7740979723390871,0.09769720968093454
1e-12,1,-0.7385328198214651,0.08580895964174336
1e-12,2,-0.4132523191118138,0.09464046524222663
1e-12,3,-0.3953005618527776,0.08722737526256526
1e-12,4,-0.1430308149599091,0.08448399386811925
1e-12,5,-0.7396492140269577,0.08417832355779628
1e-12,6,-0.3865463291876958,0.09160855208474415
1e-12,7,-0.46307680807678375,0.0865104079304904
1e-12,8,-0.78643205463406,0.09364692917887293
1e-12,9,-0.5855573388241038,0.07910687740112202
1e-12,10,-0.16237339104453996,0.08900468021675907
1e-12,11,-0.5624511747056966,0.08711604397771094
1e-12,12,-0.2230592102966984,0.08957190993230374
1e-12,13,-0.308721319465985,0.08403317279745913
1e-12,14,-0.526753554847146,0.08877599550994462
1.0530182484712203e-12,0,-0.7738179900067448,0.09770239906931726
1.0530182484712203e-12,1,-0.7382384271817768,0.08581244199158038
1.0530182484712203e-12,2,-0.4130286709625186,0.09464409785697876
1.0530182484712203e-12,3,-0.3950895835571613,0.08723059478633825
1.0530182484712203e-12,4,-0.14284204961178837,0.08448780382381882
1.0530182484712203e-12,5,-0.7395723977305804,0.08418343410454708
1.0530182484712203e-12,6,-0.386336552993338,0.09161262697307428
1.0530182484712203e-12,7,-0.4629009862941549,0.08651378494868862
1.0530182484712203e-12,8,-0.7863152942689695,0.09365128814195715
1.0530182484712203e-12,9,-0.5853660962957554,0.07910960057055369
1.0530182484712203e-12,10,-0.16208298853124958,0.08900881529053328
1.0530182484712203e-12,11,-0.5622305458787562,0.08712029104229224
1.0530182484712203e-12,12,-0.22278242810352822,0.08957619839378814
1.0530182484712203e-12,13,-0.3085522448855791,0.08403564653507402
1.0530182484712203e-12,14,-0.5265491018120392,0.08877921126189192
1.1088474316133966e-12,0,-0.7735242156797519,0.09770786261580847
1.1088474316133966e-12,1,-0.737929205552553,0.08581610924293007
1.1088474316133966e-12,2,-0.4127937314135308,0.09464792210106687
1.1088474316133966e-12,3,-0.3948678786354385,0.08723398429201627
1.1088474316133966e-12,4,-0.14264370658251724,0.08449181429250224
1.1088474316133966e-12,5,-0.7394917320009446,0.08418881244712335
1.1088474316133966e-12,6,-0.38611621692728715,0.09161691630883353
1.1088474316133966e-12,7,-0.4627162399284923,0.08651733997181336
1.1088474316133966e-12,8,-0.786192663475104,0.09365587606218566
1.1088474316133966e-12,9,-0.5851650467189997,0.07911246784113814
1.1088474316133966e-12,10,-0.16177787292520263,0.08901316776241845
1.1088474316133966e-12,11,-0.5619987714631671,0.08712476254546625
1.1088474316133966e-12,12,-0.22249177716243085,0.08958071284962126
1.1088474316133966e-12,13,-0.3083745414742807,0.08403825121058975
1.1088474316133966e-12,14,-0.526334294909863,0.08878259716267731
1.1676365802593455e-12,0,-0.7732160270866741,0.09771361473021965
1.1676365802593455e-12,1,-0.737604450388534,0.08581997121525141
1.1676365802593455e-12,2,-0.41254696124769774,0.09465194802203775
1.1676365802593455e-12,3,-0.39463492679740675,0.08723755270954398
1.1676365802593455e-12,4,-0.14243532341876208,0.08449603573952802
1.1676365802593455e-12,5,-0.7394070363236409,0.0841944724425836
1.1676365802593455e-12,6,-0.3858848199709053,0.09162143128209316
1.1676365802593455e-12,7,-0.4625221376737356,0.08652108232062565
1.1676365802593455e-12,8,-0.7860638847306824,0.09366070484375214
1.1676365802593455e-12,9,-0.5849537054261982,0.0791154868196068
1.1676365802593455e-12,10,-0.16145733594975198,0.08901774895385288
1.1676365802593455e-12,11,-0.5617553185360149,0.08712947180401738
1.1676365802593455e-12,12,-0.22218660613649388,0.08958546512005562
1.1676365802593455e-12,13,-0.30818778716925577,0.0840409937384462
1.1676365802593455e-12,14,-0.5261086363557785,0.08878616218961337
1.2295426265956214e-12,0,-0.7728927799318279,0.09771967056965473
1.2295426265956214e-12,1,-0.737263428169455,0.08582403824825569
1.2295426265956214e-12,2,-0.41228779877531063,0.09465618618678662
1.2295426265956214e-12,3,-0.39439018518526625,0.0872413094326175
1.2295426265956214e-12,4,-0.14221641783921624,0.08450047916648319
1.2295426265956214e-12,5,-0.7393181230619912,0.0842004307914448
1.2295426265956214e-12,6,-0.38564184057012296,0.09162618365576017
1.2295426265956214e-12,7,-0.4623182296897317,0.08652502179677019
1.2295426265956214e-12,8,-0.7859286692891971,0.09366578699630894
1.2295426265956214e-12,9,-0.5847315657493282,0.07911866551185856
1.2295426265956214e-12,10,-0.1611206391663027,0.08902257076351866
1.2295426265956214e-12,11,-0.5614996318979715,0.08713442841779982
